claim_id,claim,used_in,bib_key,locator,keywords,source_file,status,check1,check2,check3,notes
M23,KeplerMapper logo image,presi KeplerMapper,,,,Pictures/keplermapper.png,PENDING,,,,Image source/license unknown
M24,Mapper flowchart image,presi Overview,,,,Pictures/mapper_flow_chart.png,PENDING,,,,Image source/license unknown
M25,Simplex examples image,presi n-Simplices,,,,Pictures/simplex.png,PENDING,,,,Image source/license unknown
R01,Mapper stability/parameter-selection approach (grid + resampling),results 'is it real?',,,,,PENDING,,,,Carriere-Michel-Oudot 2018 JMLR candidate
R02,Null-model hypothesis testing in TDA,results 'is it real?',,,,,PENDING,,,,Candidates: Blumberg et al. 2014; Robinson-Turner 2017; Fasy et al. 2014
R03,Vietoris-Rips persistence computed with Ripser,results cycles slide,,,,,PENDING,,,,Bauer 2021 (Ripser); Tralie-Saul-Bar-On 2018 (ripser.py)
R04,TwoNN intrinsic dimension estimator,results dimension slide,,,,,PENDING,,,,Facco et al. 2017 Sci Rep
R05,Levina-Bickel MLE intrinsic dimension (with MacKay-Ghahramani averaging),results dimension slide,,,,,PENDING,,,,Levina-Bickel 2005 NeurIPS; MacKay-Ghahramani note is grey literature (decide)
R06,Isomap lens,results lens robustness,,,,,PENDING,,,,Tenenbaum-de Silva-Langford 2000 (likely paywalled)
R07,scikit-learn implementations (PCA/DBSCAN/Isomap),methods,,,,,PENDING,,,,Pedregosa et al. 2011 JMLR
R08,"Applied Mapper work rarely checks graph features against null models",results framing,,,,,PENDING,,,,HIGH RISK literature claim; support (e.g. review coverage) or soften
R09,omega-squared effect size,backup ANOVA slide,,,,,PENDING,,,,Candidate: Olejnik-Algina 2003 or Hays; only if slide kept
B01,Statcast field definitions (pfx_x/pfx_z movement; spin axis; extension; release position),baseball primer,,,,,PENDING,,,,Baseball Savant CSV documentation (web source + access date)
B02,Statcast pitch-type codes (FF SI FC SL ST CU CH FS etc.),baseball primer,,,,,PENDING,,,,Baseball Savant documentation
B03,"Statcast added sweeper and slurve labels in 2023",intro hook,,,,,PENDING,,,,HIGH RISK: needs dated official MLB/Savant source
B04,"FF/SI, CH/FF, FC/FF, CU/ST, SL/ST are pairs pitch classifiers are known to confuse",results 'labels cut a continuum',,,,,PENDING,,,,HIGH RISK: unsourced; find evidence or reword to our adjacency result + observed Statcast reclassifications
B05,Data pulled with pybaseball,methods,,,,,PENDING,,,,Software citation (GitHub/PyPI; version 2.2.7)
L01,Mapper introduced by Singh-Memoli-Carlsson 2007,intro / related work,singh2007mapper,,,mapperPBG.pdf,PENDING,,,,Confirm venue/pages from registry (Eurographics PBG 2007)
L02,Mapper applications (e.g. Lum et al. 2013),related work,lum2013extracting,,,extracting_insights_tda.pdf,PENDING,,,,Confirm DOI/volume from Crossref
L03,Survey of Mapper applications 2007-2025,related work,madukpe2026review,,,s41060-025-00971-0.pdf,PENDING,,,,Cite published version (IJDSA 21:56); mapperOverview.pdf is the preprint duplicate
L04,TDA / Mapper in sports analytics,related work,,,,,PENDING,,,,To search; do not cite until full text read
L05,Pitch classification literature,related work,,,,,PENDING,,,,To search; do not cite until full text read
